Sex;Age;Tenure;Count_CA;Count_SA;Count_MF;Count_OVD;Count_CC;Count_CL;ActBal_CA;ActBal_SA;ActBal_MF;ActBal_OVD;ActBal_CC;ActBal_CL;VolumeCred;VolumeCred_CA;TransactionsCred;TransactionsCred_CA;VolumeDeb;VolumeDeb_CA;VolumeDebCash_Card;VolumeDebCashless_Card;VolumeDeb_PaymentOrder;TransactionsDeb;TransactionsDeb_CA;TransactionsDebCash_Card;TransactionsDebCashless_Card;TransactionsDeb_PaymentOrder;Sale_MF
F;51;7;1;0;0;1;0;0;1333.80285714286;0;0;0;0;0;1678.94642857143;1318.69821428571;25;23;1891.35321428571;1335.61964285714;250;283.089285714286;247.607142857143;50;30;3;12;9;1
M;43;152;1;1;0;0;0;0;110.768571428571;13326.1903571429;0;0;0;0;708.129642857143;704.935714285714;4;3;386.442857142857;386.442857142857;307.142857142857;38.4071428571429;35.7142857142857;6;6;2;2;1;0
F;24;19;1;0;0;0;0;1;4.29714285714286;0;0;0;0;1982.07107142857;501.131428571429;448.429285714286;3;2;436.285714285714;429.678571428572;357.142857142857;0;0;8;6;1;0;0;0
F;64;30;1;0;0;1;0;0;0;0;0;326.969285714286;0;0;649.199285714286;458.608571428572;25;21;654.824285714286;455.037142857143;253.571428571429;6.98214285714286;0;42;24;10;1;0;0
F;66;132;1;1;0;0;0;1;353.839642857143;5.8325;0;0;0;3458.29571428571;1201.10714285714;1095.64464285714;6;3;1232.79642857143;1158.36785714286;339.285714285714;173.432142857143;312.535714285714;41;39;6;17;10;0
F;38;95;1;1;2;0;1;1;23.3446428571429;403.659285714286;13184.9225;0;53.1321428571429;17062.3242857143;4358.74071428572;3567.30928571429;13;7;2385.78678571429;1986.29285714286;625;399.493928571429;383.535714285714;46;21;5;25;10;0
M;26;174;1;0;0;0;0;0;1.54535714285714;0;0;0;0;0;47.4375;47.4375;2;2;20.8035714285714;20.8035714285714;0;17.4107142857143;0;2;2;0;1;0;0
F;64;150;1;0;0;0;0;0;338.776428571429;0;0;0;0;0;1309.47464285714;1309.47464285714;4;4;5000.51535714286;5000.51535714286;803.571428571429;168.926071428571;4023.76785714286;33;33;5;7;20;0
M;27;181;1;1;0;0;0;0;2194.47214285714;18302.0625;0;0;0;0;452.6175;451.55;4;3;221.428571428571;221.428571428571;107.142857142857;10.7142857142857;103.571428571429;7;7;3;1;3;0
F;24;60;1;1;0;0;0;0;434.7425;173499.862857143;0;0;0;0;409.850714285714;409.300357142857;3;2;505.653571428571;505.653571428571;178.571428571429;259.189285714286;64.2857142857143;22;22;4;14;3;0
M;54;0;1;0;0;0;0;0;2492.14678571429;0;0;0;0;0;2423.41107142857;2423.41107142857;7;7;3587.07821428571;3587.07821428571;1392.68214285714;466.84;1273.10714285714;29;29;4;12;9;0
M;4;160;1;2;4;1;0;0;22.9671428571429;25325.4378571429;868.703571428572;333.400714285714;0;0;559.104285714286;559.024642857143;4;3;945.715;945.715;107.142857142857;529.379285714286;309.192857142857;33;33;1;26;6;0
F;27;24;1;0;1;1;0;0;1868.23428571429;0;61064.2857142857;0;0;0;480.787142857143;480.787142857143;3;3;476.714285714286;476.714285714286;457.142857142857;0;16.1785714285714;7;7;4;0;2;0
M;62;181;1;0;0;1;0;0;1649.98;0;0;0;0;0;10491.7107142857;10134.5678571429;4;3;425;67.8571428571429;0;0;0;2;1;0;0;0;1
F;60;150;1;0;0;1;0;0;373.354285714286;0;0;0;0;0;199.493571428571;192.621785714286;5;4;385.243571428571;192.621785714286;92.8571428571429;0;89.2857142857143;8;4;1;0;1;0
F;59;97;1;0;0;0;1;1;2336.85071428571;0;0;0;613.601785714286;679.500714285714;1224.86357142857;1056.09428571429;6;2;2816.69571428571;2697.48142857143;57.1428571428572;1320.29642857143;843.827857142857;46;41;1;22;13;0
M;71;150;1;0;0;0;0;0;18635.5753571429;0;0;0;0;0;730.572142857143;730.572142857143;5;5;635.842857142857;635.842857142857;139.285714285714;56.7357142857143;436.428571428572;13;13;2;4;6;0
F;48;104;1;1;3;1;1;0;188.608571428571;1343.25892857143;0;0;728.668928571429;0;18889.2939285714;18134.3675;11;4;8458.40642857143;7683.43821428571;1107.14285714286;844.575357142857;5775.09428571429;54;19;6;33;11;1
M;66;31;1;0;0;1;0;0;14.8632142857143;0;0;0;0;0;0.0396428571428571;0.0396428571428571;1;1;698.242857142857;698.242857142857;107.142857142857;290.492857142857;245.785714285714;21;21;6;9;4;0
F;49;263;1;1;2;0;0;0;60.9978571428572;1912.6325;3697.8375;0;0;0;7155.63035714286;7142.885;4;2;0;0;0;0;0;0;0;0;0;0;1
F;30;172;1;1;0;0;0;0;19.0135714285714;3850.17321428572;0;0;0;0;1205.17857142857;1188.08285714286;3;2;889.630357142857;889.630357142857;382.142857142857;265.880357142857;238.928571428571;32;32;12;16;2;0
F;27;12;1;1;0;0;0;0;6398.11214285714;7908.88321428572;0;0;0;0;987.858571428572;987.858571428572;4;4;957.679642857143;957.679642857143;307.142857142857;219.429642857143;427.714285714286;26;26;4;12;9;0
M;27;33;1;0;0;0;0;0;871.736785714286;0;0;0;0;0;0.00107142857142857;0.00107142857142857;1;1;18.0357142857143;18.0357142857143;0;0;18.0357142857143;1;1;0;0;1;0
M;23;4;1;0;12;0;0;0;875.371428571429;0;0;0;0;0;643.187857142857;643.187857142857;4;4;546.642857142857;546.642857142857;178.571428571429;68.5357142857143;296.071428571429;9;9;1;1;6;1
F;65;83;1;0;0;1;0;0;26315.7703571429;0;0;0;0;0;2230.96428571429;1716.59107142857;22;18;2242.76464285714;1812.18535714286;410.714285714286;334.597857142857;551.642857142857;51;37;7;10;13;1
F;35;51;1;0;0;0;0;0;186.846071428571;0;0;0;0;0;0.196428571428571;0.196428571428571;1;1;362.642857142857;362.642857142857;0;0;0;3;3;0;0;0;0
M;63;52;1;1;0;0;0;0;0;38757.8946428571;0;0;0;0;5.91392857142857;0.00857142857142857;2;1;3.39285714285714;3.39285714285714;0;0;0;1;1;0;0;0;0
M;45;95;1;1;1;0;0;0;503.993571428572;3628.38857142857;1891.05214285714;0;0;0;2470.37321428571;2469.47035714286;6;5;4293.02321428571;2677.91607142857;964.285714285714;407.166071428571;591.857142857143;35;32;5;9;16;0
M;45;229;1;1;5;0;0;0;622.2275;1537.05428571429;0;0;0;0;15.8235714285714;0.100357142857143;2;1;1060.30607142857;1060.30607142857;0;6.07392857142857;1053.375;22;22;0;2;19;0
M;64;92;1;0;5;1;0;0;2418.3175;0;59721.7592857143;0;0;0;360.975;360.975;2;2;308.535714285714;308.535714285714;178.571428571429;0;128.678571428571;8;8;1;0;6;0
F;46;19;2;0;0;0;0;0;4.14535714285714;0;0;0;0;0;415.738214285714;415.738214285714;9;9;111.714285714286;111.714285714286;0;0;108.678571428571;3;3;0;0;2;0
F;43;53;1;0;0;0;1;0;960.5725;0;0;0;0.464285714285714;0;49.7996428571429;0;4;0;36.6032142857143;1.96428571428571;17.8571428571429;0;0;8;1;1;0;0;0
M;64;125;1;1;9;1;1;0;0;7522.66642857143;83343.1978571429;531.122857142857;398.347857142857;0;4412.515;4409.65214285714;4;3;5510.35964285714;5510.35964285714;1157.14285714286;1104.98928571429;3241.59107142857;68;68;8;21;34;0
M;54;105;1;1;0;0;0;0;583.714285714286;2907.09428571429;0;0;0;0;977.397857142857;964.903928571429;3;2;478.745714285714;478.745714285714;314.285714285714;164.46;0;10;10;3;7;0;0
F;20;28;1;0;0;0;0;0;3891.11607142857;0;0;0;0;0;356.404285714286;356.404285714286;2;2;1.96428571428571;1.96428571428571;0;0;0;1;1;0;0;0;0
F;67;180;1;0;0;0;0;0;220.458928571429;0;0;0;0;0;191.178928571429;191.178928571429;4;4;190.107142857143;190.107142857143;75;18.5714285714286;85.8214285714286;19;19;6;9;2;0
M;62;91;1;1;1;0;1;0;101.323928571429;4104.84892857143;0;0;671.999285714286;0;2135.97714285714;0.0178571428571429;9;1;12005.1296428571;9965.38571428571;0;962.958214285714;0;23;5;0;14;0;0
F;14;20;1;0;0;0;0;0;1682.81321428571;0;0;0;0;0;632.029285714286;632.029285714286;2;2;69.5357142857143;69.5357142857143;0;60.7857142857143;0;3;3;0;1;0;0
M;54;20;1;0;0;1;0;0;4714.44821428571;0;0;0;0;0;874.664285714286;832.886071428571;6;4;815.591428571429;773.851071428572;678.555357142857;34.3392857142857;10.7142857142857;33;31;13;3;1;0
M;41;17;1;0;0;0;0;0;1909.81;0;0;0;0;0;3851.01928571429;3851.01928571429;3;3;988.496785714286;988.496785714286;135.714285714286;199.082142857143;653.700357142857;21;21;2;10;9;1
F;43;15;1;0;0;1;0;0;53.5960714285714;0;0;0;0;0;271.430357142857;271.430357142857;2;2;301.5;301.5;178.571428571429;0;120.321428571429;6;6;2;0;3;0
M;47;129;1;0;0;0;0;0;1377.37428571429;0;0;0;0;0;430.824285714286;430.824285714286;4;4;1261.10714285714;1261.10714285714;357.142857142857;0;880.107142857143;13;13;1;0;10;0
M;87;163;1;1;1;1;0;0;179.357142857143;21.0160714285714;53571.4285714286;0;0;0;1283.68857142857;533.376785714286;6;3;1053.6;1053.59607142857;0;0;304.516428571429;4;3;0;0;2;0
M;59;57;1;1;35;0;0;0;3707.06571428571;5589.0225;4392.47857142857;0;0;0;503.674285714286;496.2525;5;2;511.285714285714;511.285714285714;53.5714285714286;188.678571428571;266.535714285714;13;13;1;6;5;1
F;66;178;1;0;0;1;1;1;178.308571428571;0;0;0;886.577857142857;3447.67357142857;792.678571428572;659.292857142857;7;2;1587.80964285714;1559.73607142857;285.714285714286;39.4285714285714;0;16;9;2;1;0;0
F;24;142;1;0;0;0;0;0;3684.75428571429;0;0;0;0;0;4312.96357142857;4312.96357142857;5;5;2721.265;2721.265;435.478571428571;1592.82357142857;683.607142857143;64;64;3;47;10;0
F;41;75;1;2;1;0;0;0;340.195;901.553928571428;4771.73107142857;0;0;0;50.3485714285714;0.000357142857142857;3;1;0;0;0;0;0;0;0;0;0;0;0
M;9;81;1;0;0;0;0;0;2756.82678571429;0;0;0;0;0;25.0003571428571;25.0003571428571;2;2;18.6214285714286;18.6214285714286;0;18.6214285714286;0;6;6;0;6;0;0
M;86;19;1;0;0;0;0;0;5860.19071428571;0;0;0;0;0;0.0732142857142857;0.0732142857142857;1;1;3.39285714285714;3.39285714285714;0;0;0;1;1;0;0;0;0
F;20;151;1;0;1;0;0;0;11324.9078571429;0;34612.7903571429;0;0;0;1001.57607142857;1001.57607142857;4;4;886.035714285714;886.035714285714;357.142857142857;0;525.285714285714;16;16;1;0;14;0
F;43;111;1;3;7;0;0;0;14.855;90800.8821428572;0;0;0;0;569.767142857143;568.720357142857;4;3;225.071428571429;225.071428571429;0;0;224.392857142857;4;4;0;0;3;0
F;25;60;1;0;0;1;0;0;364.4975;0;0;0;0;0;196.496428571429;196.496428571429;3;3;120.25;120.25;71.4285714285714;8.89285714285714;29.2142857142857;6;6;2;1;2;0
M;36;31;1;0;0;0;0;0;34.3221428571429;0;0;0;0;0;9319.19714285714;9319.19714285714;4;4;1086.58214285714;1086.58214285714;460.714285714286;0;203.678571428571;15;15;6;0;5;1
M;45;58;1;0;19;0;0;0;826.440357142857;0;1035.57714285714;0;0;0;0.000357142857142857;0.000357142857142857;1;1;3.39285714285714;3.39285714285714;0;0;0;1;1;0;0;0;1
M;21;33;1;0;0;0;0;0;7153.65;0;0;0;0;0;127.572142857143;127.572142857143;3;3;110.064285714286;110.064285714286;46.4285714285714;62.3857142857143;0;12;12;5;6;0;0
F;20;81;1;0;0;0;0;0;649.571428571429;0;0;0;0;0;107.143214285714;107.143214285714;2;2;78.9535714285714;78.9535714285714;35.7142857142857;3.38214285714286;35.8214285714286;4;4;1;1;1;0
