V2;V3;V4;V5;V6;V7;V8;V9;V10;V11;V12;V13;V14;V15;V16;V17;V18;V19;V20;V21;V22;V23;V24;V25;V26;V27;V28;V29;V30;V31;V32;V33;V34;V35;V36;V37;V38;V39;V40;V41;V42;V43;V44;V45;V46;V47;V48;V49;V50;V51;V52;V53;V54;V55;V56;V57;V58;V59;V60;V61;V62;V63;V64;V65;V66;V67;V68;V69;V70;V71;V72;V73;V74;V75;V76;V77;V78;V79;V80;V81;V82;V83;V84;V85;V86;V87;V88;V89;V90;V91;V92;V93;V94;V95;V96;V97;V98;V99;V100;V101;V102;V103;V104;V105;V106;V107;V108;V109;V110;V111;V112;V113;V114;V115;V116;V117;V118;Y
-0.00849587470293045;-0.00695376754817317;-0.00415750125707207;-0.000106916084127912;0.00132274930760012;0.00160860270261765;0.00273301528166917;0.00189464577173781;-0.000757955267267713;-0.00592773306672856;-0.0106087208299314;-0.0124165365251444;-0.0144033433269646;-0.0148149264060845;-0.0133471209871567;-0.0128897688651489;-0.0126360460358151;-0.0115889684628632;-0.0109977116019039;-0.0110304711733834;-0.0114341709068266;-0.0117190336271868;-0.010495541333142;-0.00730801323207758;-0.00291870635444835;0.00113136043487969;0.000538526450173327;-0.00698326970055951;-0.0201713267271801;-0.0355489396695363;-0.0504070150397591;-0.0614150400131436;-0.0613884706113298;-0.0580926416283947;-0.0589734608844175;-0.0629792834742595;-0.0667767994484659;-0.0703494294972743;-0.0737142872254727;-0.076556971896503;-0.0786116849315369;-0.0771385524737633;-0.0744412277462119;-0.0702897869681908;-0.0653861098117747;-0.0613695202490031;-0.0562326450974254;-0.0463902346663556;-0.0317470648531186;-0.0200422774937193;-0.015444203958673;-0.017092801756778;-0.0147386597374738;-0.013378554229009;-0.0181185484437619;-0.0265319294343561;-0.0328736969475019;-0.0319471147100804;-0.0285722262273401;-0.0277240874908738;-0.0279077953201229;-0.0272613243531373;-0.0270906060428943;-0.0255997534525597;-0.0211436036279646;-0.0113543014405137;0.00437957376746806;0.0181037609354924;0.0244645478866868;0.0221032520471993;0.0108519979452683;-0.00354236515901857;-0.014299064874649;-0.0208420301392927;-0.0257525951680491;-0.030041576694634;-0.0324504701262813;-0.0302626184992871;-0.025489092378293;-0.0249727090536538;-0.0400626581099074;-0.0544476289365251;-0.0586748709112911;-0.0576996338569512;-0.0518503656326714;-0.0414763868360196;-0.0232018012616594;0.000158375855219606;0.0210701308007968;0.0335046792939558;0.0374590484267574;0.0362599479444956;0.0326334725497133;0.0283513086832176;0.0256690319816945;0.0263195664195691;0.0267075562881212;0.0268953679981878;0.0330038979902105;0.0285420281402136;0.0257487701157392;0.0223989345259585;0.0225381305662252;0.0323409640182883;0.0284769646192001;0.014244888040979;0.0062402986874015;0.00567010398638446;0.00370574376340638;-0.00337076338671016;-0.0128002171799287;-0.0233251305959993;-0.0305222232462996;-0.0445786689297628;-0.0518689155578613;-0.0539318252418001;-0.056125568131269;-31.055084600287
-0.00836587697267532;-0.00700475932177852;-0.00446151474774895;-0.000658914699392804;0.000802758386579616;0.00114660710096359;0.00236701296042588;0.00181563981508803;-0.000612952067690381;-0.00540473211114689;-0.00967070763393984;-0.0113185295614145;-0.0130443425249245;-0.0134009254180779;-0.0121191311943329;-0.0117107591891693;-0.0115140482025631;-0.0106289611529496;-0.0100967128903179;-0.0100704638634698;-0.0103411707332579;-0.0104080294653521;-0.00916854822534627;-0.00604400733264826;-0.00172570448810772;0.0022173570626873;0.00178652850248046;-0.00491726840451612;-0.0166063282196804;-0.0299589180592763;-0.0426090287707619;-0.0518470342128964;-0.0516394753072221;-0.0487086353665691;-0.0495434696391477;-0.0531382585986186;-0.0565717988095041;-0.0597824200482692;-0.0627722751538633;-0.0652729781754947;-0.0671936701667511;-0.0662895385491646;-0.0643842254402274;-0.0611707829570366;-0.0572061173744121;-0.0539235143085657;-0.0495926429659633;-0.0411842159800611;-0.0282280662302243;-0.0175062786724608;-0.0134712008096404;-0.0151268021535065;-0.0130486594418348;-0.0118935641090749;-0.0164455652742063;-0.0243109411607355;-0.0301356979850995;-0.0294430937807439;-0.0264922327409357;-0.0257910790584855;-0.02602777541694;-0.0255973116826203;-0.0255126028747882;-0.0240817721617424;-0.0197845879247633;-0.0102413039086229;0.00529855818061503;0.0187117581145238;0.0249685647629075;0.0228392502008858;0.012285996291597;-0.00109335931680971;-0.0109850764274597;-0.0170850301698103;-0.0218106121835062;-0.0258065772763753;-0.0279354778891903;-0.0257006279997907;-0.0209150915428743;-0.0200446566282693;-0.0334316711809676;-0.046459623059984;-0.0504188527495174;-0.0495846402847161;-0.0443603565632287;-0.0350113988427793;-0.0185037929627855;0.00263041889263416;0.0216981253381503;0.0330776716187849;0.0365870920783382;0.0353519903906321;0.0318824540255434;0.0278162973917137;0.0252770122330067;0.0257325798778211;0.0261416101859788;0.0267853378239324;0.0326668933286505;0.0279800159446264;0.0254117654541791;0.0227449394888797;0.0231230905500509;0.0320019924034507;0.0284919253850388;0.0157088973259522;0.00832926267284462;0.00768813844454486;0.00574970624204407;-0.000548721875174518;-0.00907921841589065;-0.01858012403472;-0.024744208586418;-0.0367506717221212;-0.0431379079818726;-0.0451627899024446;-0.0468765961921821;-26.4650844476991
-0.00826888531446457;-0.00677076638755153;-0.00418651381791649;-0.000679910435514936;0.000417757084814174;0.000460602343082428;0.000933014614097144;-0.000437356152776958;-0.00273195679410029;-0.00706773150270268;-0.0110997140912686;-0.0125355371984385;-0.0143823475908425;-0.014758927842318;-0.0134841222631729;-0.0130477658772873;-0.0126610352831372;-0.0115369634102967;-0.0108907063633709;-0.0108824579392449;-0.0113781723430601;-0.01208803108183;-0.0113755443086059;-0.0085880229786291;-0.00467570227081493;-0.00077364871562538;-0.00111647101782136;-0.00805126572564496;-0.0204693201487347;-0.0353709303979146;-0.0500910210154824;-0.0615610117881985;-0.0632514733884294;-0.0608966229325634;-0.061498462648715;-0.0646952713950206;-0.06757380295608;-0.0702914341779079;-0.073057295028436;-0.0755349608548617;-0.0769836734664642;-0.0747235510813988;-0.0712052319767111;-0.0666827820872856;-0.0617451153821864;-0.0576945064684092;-0.0529016544253139;-0.0439112178855023;-0.0310500481371152;-0.0214132737305205;-0.0169752088643737;-0.017966814465442;-0.0156726645211042;-0.0140855547230123;-0.0174055576829587;-0.0238879269967645;-0.0289407142643201;-0.0276581134836553;-0.0244092292199701;-0.0235530736587815;-0.0235107904773648;-0.0224443153809693;-0.0220525830478991;-0.020676767421981;-0.0167066040685621;-0.00813731955269637;0.00544154972343119;0.0170957569853734;0.0224765541694932;0.0204072614847604;0.0104910024141861;-0.00281837734125429;-0.0135800838470459;-0.0203030551389112;-0.0248366207894633;-0.0290065718404317;-0.0322884647017818;-0.0322166375689588;-0.0300710802361116;-0.0312686880766335;-0.0457036714937727;-0.0583286065671403;-0.061505853119543;-0.0605226290428033;-0.0554753711162987;-0.0464683950452481;-0.0302177745912035;-0.00923662746356701;0.00931311461885098;0.0205127144769087;0.0245400992995601;0.0240929710157847;0.0214274417040712;0.0182482617891441;0.0162120398323414;0.0169155627994214;0.0165915751861314;0.0146173476162603;0.0191508844747381;0.0166550142280126;0.0140567826012433;0.00978796259831571;0.0098351290670492;0.0190249883522422;0.0156139246488022;0.00215593359227906;-0.00475270515781334;-0.00432589296567243;-0.00534629442934265;-0.0119047180070715;-0.0205422048851595;-0.030182108535605;-0.0378072221400374;-0.0531096433178854;-0.059999942779541;-0.0611408282134492;-0.0635755526817451;-31.055084600287
-0.0065118744969368;-0.00532176257190059;-0.00299950221837578;0.000606089577836505;0.00202875142380343;0.00244460254907608;0.00377502368163254;0.00355864354109359;0.00133704368845891;-0.00308673727815434;-0.0069717050103818;-0.00850752981032354;-0.00999835146180653;-0.0103239250385155;-0.00920212458250885;-0.00885776796583401;-0.00875004671387752;-0.00807296497336887;-0.00767671960895344;-0.00766546115026637;-0.00784616500644361;-0.0076880311056719;-0.00639754319089955;-0.00360301831516169;0.000257297340085949;0.00373535325466576;0.00332651880838103;-0.00265627051309003;-0.0127123269741818;-0.0238659226540792;-0.0341070222400002;-0.0412540371387692;-0.0404004830930193;-0.0376656232243877;-0.0384734565928831;-0.0417182768805552;-0.0448427968106027;-0.0477764352650966;-0.0503923010270475;-0.0525549563058352;-0.0543256830108368;-0.0539895538556374;-0.0529042218448752;-0.0505757742261482;-0.0474981002635875;-0.0449525086303889;-0.0413956483036785;-0.0343542389445386;-0.0229820528272855;-0.0131532918598692;-0.00971321736351921;-0.0114228205155518;-0.00960863697326791;-0.00870453679965716;-0.0131545544175778;-0.0205799288163751;-0.0260216959957349;-0.0255861070196508;-0.0230832344899743;-0.0225130918167405;-0.0227947896820004;-0.022620327896991;-0.0226626067848529;-0.0214407499563896;-0.0176255884817091;-0.00903332637528242;0.00522655576972636;0.0175527755991887;0.0233015718601517;0.0212982615171853;0.0116749890780045;-0.000200362528784803;-0.00859206914901733;-0.0136400307134046;-0.0177826196965525;-0.0212355864755178;-0.0226734606391292;-0.0198896221690259;-0.0147030954643831;-0.01324567400803;-0.0246776860144179;-0.0362796265695055;-0.040040849629095;-0.0393776428901543;-0.0347393622337762;-0.0263653874902402;-0.0116688091371019;0.00723642742229724;0.0244661054368747;0.0347076798394576;0.0377240506774288;0.0363589512594675;0.0329864512560731;0.0290262716806541;0.0265630420486805;0.0269595414905225;0.0275835657523851;0.0290243267002752;0.0347358897580938;0.0299110276214147;0.0275987790802777;0.0256199695296206;0.0260701230016805;0.0338509880890281;0.0306369773412155;0.019372914049585;0.012570311962548;0.0116031503273268;0.00959670922513734;0.00393724289991093;-0.00369322350469681;-0.0121171327970796;-0.0171592195155257;-0.0268046830670309;-0.0321909189224243;-0.0342488218162019;-0.0357745754516731;-21.8950847528749
-0.00803587585687637;-0.0067657595973904;-0.00448350886167107;-0.00134991134627391;-0.000356239029916661;-0.000268392264842987;0.000307016832343604;-0.000650353350881816;-0.00256695623620082;-0.00629373538797184;-0.00968870823666201;-0.0109725394996546;-0.0124963523220208;-0.0128079188072075;-0.0117241312134064;-0.0113657675052093;-0.0111060395079144;-0.0102469698857453;-0.00977072018688008;-0.00979947134599848;-0.0101821604421583;-0.0105380420967684;-0.0097645350684554;-0.00743801096233271;-0.00451269846851543;-0.00170763859809456;-0.00221248122595125;-0.00768027151540174;-0.0170193288033291;-0.0277549171094167;-0.0378360080264382;-0.0451450283497067;-0.0453224856469591;-0.0432276306516033;-0.0436984593585386;-0.0461032713873912;-0.048342811354136;-0.0504664226861323;-0.052496285382974;-0.0541639538892245;-0.0552046727073395;-0.0538365487324989;-0.0516112182857627;-0.0485647731160713;-0.0451801054305949;-0.0424265233894526;-0.0389996309906749;-0.0321932427458844;-0.0221810558084714;-0.0145782899048369;-0.0112042275525756;-0.0119328276585725;-0.00999165642059458;-0.00869553649829608;-0.0112715542821561;-0.0163629300008386;-0.0204127201084363;-0.0195610907118199;-0.0171652383218378;-0.0165400805614762;-0.016484773765176;-0.0157343224953797;-0.0155465870590533;-0.0146577711832726;-0.011884588306233;-0.00582629846314253;0.00369057387618693;0.0114677672163915;0.014907568945723;0.0133332630335274;0.00660600147004853;-0.00244635495088869;-0.00942206382751465;-0.0135160530522718;-0.0164116234597513;-0.0191575897447133;-0.0211474625235897;-0.0205216400199018;-0.0184290712162599;-0.018882664078373;-0.0285816710379164;-0.0374376256082017;-0.0399108518988399;-0.0393646192752709;-0.0359093716083947;-0.0296423912553464;-0.0182988125894029;-0.00358157718585705;0.00942111823518399;0.0173376942590132;0.0201900927192074;0.019859968353126;0.0179544578669435;0.0157042759454856;0.014293008689153;0.0148875743655835;0.0150276089118699;0.0137083171787908;0.0166268661870794;0.0155790311805273;0.0137917803505719;0.0103139735884585;0.0101270726171591;0.0163150035728843;0.0138609520459579;0.0043669082855774;-0.000476727546271594;-0.000274863283513005;-0.00101828196291198;-0.00555372389696407;-0.0113691692635164;-0.0177481027983003;-0.0226132233264083;-0.0325126622693014;-0.0366709232330322;-0.0376148153159578;-0.0395495760238777;-26.4650844476991
-0.00851387530565262;-0.00707476497706722;-0.00471550504029808;-0.00179891313536693;-0.00119624728873624;-0.00150739401578903;-0.00155398918915603;-0.0033073496010344;-0.00529495651944209;-0.00899772990052983;-0.0124927044419919;-0.0136885294469736;-0.0154043437313225;-0.015768928548037;-0.0146001298296249;-0.0142227671409057;-0.0137960418301114;-0.0126989708613541;-0.0121757079989223;-0.0123764632617013;-0.0131861749341932;-0.0143620376869784;-0.0141255387057692;-0.0118070165232076;-0.00900770824844555;-0.00641265044272957;-0.00752148183725648;-0.0145232721658076;-0.026690316528587;-0.0412809395436513;-0.0557630139134698;-0.0670660371750088;-0.0690964836690385;-0.0670656142598491;-0.0674314493850126;-0.0700752760394145;-0.0723138027271982;-0.0743934258313502;-0.0766682934205411;-0.0787629696019626;-0.0796696822774612;-0.07677454690812;-0.0726062391521567;-0.067727785620649;-0.0626091145105281;-0.0584465084692179;-0.053814648571661;-0.0453522197775922;-0.0336060443166959;-0.0252612899925749;-0.0208992210485168;-0.0215338246297028;-0.0193456517437757;-0.017645561341512;-0.0201235592870389;-0.0255569464574426;-0.0299347111229169;-0.0284521069567082;-0.0252212232957452;-0.0242850783012681;-0.0240117973190243;-0.0226563291024354;-0.022155579874071;-0.021116768909713;-0.0182185950925794;-0.0120473246453172;-0.00235142975540487;0.00573877737683764;0.00909256960375832;0.00658524238457114;-0.00236202397588958;-0.0141963675870734;-0.0236960649490356;-0.0293390298798933;-0.0327615947541544;-0.0360695732347036;-0.0390364555484157;-0.0394476346545301;-0.0384330754562959;-0.0404456874071542;-0.0543886642839949;-0.0658676106545885;-0.0682838549048214;-0.0671686363422265;-0.0623813738762322;-0.0539663911370908;-0.0387177843663652;-0.0189025934975026;-0.00157188561003085;0.00897569903882889;0.0131090609198909;0.0131229745634531;0.0110844861147767;0.00856727538472513;0.00699704254077649;0.00772553985401736;0.00708159450757306;0.00415434827238825;0.00767889770410823;0.00637804098048456;0.00417874324119694;-0.000771059828289511;-0.000967914775266476;0.00784697168964454;0.00454492488149871;-0.00857510783914794;-0.0149897432933419;-0.0142478609489183;-0.0150382480884003;-0.0215307489290075;-0.0299782161995515;-0.0394571277044588;-0.0476052124621504;-0.063851652003951;-0.0705689191818237;-0.0713558126304109;-0.0740915405548225;-31.055084600287
-0.00465387850999832;-0.00367975891646694;-0.00167650262178001;0.00161808703915548;0.00307774846836673;0.00355460494756699;0.00492901430796769;0.00503864177202773;0.00307603900210332;-0.000881737950494732;-0.00428870623394595;-0.00567154081191046;-0.00690534723512196;-0.00717092873686451;-0.00623412619707947;-0.00594876327757107;-0.00590803764634212;-0.00538597268573307;-0.00504070419376179;-0.00497046693906947;-0.00500117570666944;-0.00461304238287069;-0.00331353926557607;-0.000812015922392828;0.0028392960459499;0.00625235309540215;0.00617652979947753;0.00119372760340319;-0.00713732573440518;-0.0160769366864431;-0.0239680039428048;-0.029338025566885;-0.0283194858643968;-0.0260076401597362;-0.0267744655326261;-0.0295562769396831;-0.0323078208050485;-0.0348874374718989;-0.0371652852933286;-0.0390109630712008;-0.0406616758239471;-0.0409185532796181;-0.0406712327720755;-0.039315771374662;-0.0372071199245372;-0.0354385046383082;-0.0327536304623394;-0.0272982410960279;-0.0180080452207791;-0.00950927249455857;-0.00675220762268974;-0.0085048155259278;-0.00708163845337045;-0.00646456444667559;-0.0105595469979917;-0.0171929246793359;-0.0219367214683759;-0.0217430975477574;-0.0197382218251794;-0.0193390848778062;-0.0196907883983548;-0.0197273270558503;-0.0198665827007617;-0.0187157746088707;-0.0151606085947004;-0.00708431409577193;0.00627655119208964;0.0177207712904882;0.0229235592029862;0.0210342427431527;0.0123000033831192;0.00181463209249205;-0.00553306937217712;-0.0100030446961775;-0.0137536139306376;-0.0168065739385152;-0.018015476859222;-0.0154516391329846;-0.0106790964886293;-0.00901666485657127;-0.0181056778814833;-0.0276976306054552;-0.0310168554217128;-0.0305616390907159;-0.0267683734833184;-0.0198514044789945;-0.00768578835463118;0.00796539222790027;0.0224491438623202;0.03116168031248;0.0337210623389583;0.0325019943006968;0.0295354615328676;0.0260512846506248;0.0237980421821949;0.0237615734843885;0.0237835908340196;0.0253393291416815;0.0305868700399237;0.0254600507728124;0.0234747337082685;0.0225359656042972;0.0231800725904562;0.0298479997505576;0.0271909348035263;0.0178939439987732;0.0120792888988883;0.0110560988975783;0.00901174924131165;0.00424623337842656;-0.00231421044317337;-0.00952814544661573;-0.0135431845309371;-0.0207766865269613;-0.0252569317817688;-0.0270788002822359;-0.0278895962036262;-17.3250850580506
-0.0060148760676384;-0.00514576495704006;-0.00323650518716392;-0.000445917501287946;0.000415760329214199;0.000488601624965668;0.00107502268027451;0.000138648233171224;-0.00184496517403651;-0.00549774515931889;-0.00875370507523165;-0.0099475333246134;-0.011297345287719;-0.0115849209033837;-0.0106211323606766;-0.010318767216246;-0.0100930436687954;-0.00931396347991489;-0.00890871781413838;-0.00899346753702326;-0.00938517183570539;-0.00985403409448721;-0.00925354444879597;-0.00687501529010676;-0.00351770323211864;-0.000526647067676161;-0.00124748202703767;-0.0072792663665141;-0.0174353245203778;-0.0291639411095845;-0.0403780269168191;-0.048895024773428;-0.0498314876172502;-0.0479626236325603;-0.0485204453185453;-0.0510162736399699;-0.0533118121704813;-0.0554004355759944;-0.0575032841603635;-0.0594059737809634;-0.0606136750114166;-0.0591745321023262;-0.0568602417232627;-0.0537167899941994;-0.0501041047401347;-0.047101509394282;-0.0434516509205608;-0.0366022281222425;-0.0264510431532132;-0.0183422934200804;-0.0148221996881194;-0.0159358159970429;-0.0141526566723646;-0.0130265589992879;-0.0161805630235349;-0.0219959265599817;-0.0263597139362561;-0.0254091110269902;-0.0227792209992975;-0.0220820906303696;-0.0220927959781582;-0.0213513152074006;-0.0211035876961078;-0.0200377758276665;-0.0168315950086561;-0.00996831463555159;0.001154545252606;0.0110047583357762;0.0156035723827653;0.0135602673231545;0.00491099438424836;-0.00640535506151491;-0.0151670575141907;-0.0205170358136549;-0.0241635949429819;-0.0274195981732869;-0.0296514658099514;-0.0288676313929639;-0.0262860958859071;-0.0267646928965035;-0.0386096756842177;-0.0491096157643755;-0.0518438507944851;-0.0510016215049615;-0.0466373732029382;-0.0389414012937223;-0.025098778686281;-0.00710462892459607;0.0090711197610629;0.0188416982606306;0.0222810832625728;0.0217619525679087;0.0193584452746278;0.0164452808893333;0.0145710047523854;0.0150715739040052;0.0147835874961595;0.0138233541432073;0.01822689327143;0.0151870114318395;0.0129227446297467;0.00982193724583769;0.0100030949560262;0.0179649793495567;0.0149389616513657;0.0034588911270691;-0.00272674328189781;-0.00270387176739972;-0.0039692483210968;-0.00964272173784542;-0.0172491674706087;-0.0256610962293916;-0.0319102366091841;-0.0439876888768148;-0.0498999357223511;-0.0512298274848421;-0.0530095565117011;-21.8950847528749
-0.00702888518571854;-0.0060587591033871;-0.00410551110566673;-0.00161691035254527;-0.00108824367240323;-0.00131639093160629;-0.00141698791313979;-0.00306535474324632;-0.00488495106919337;-0.00812873888318821;-0.0111187130717908;-0.0121345320495508;-0.0135813505720284;-0.0138669294320931;-0.0129011292326248;-0.0125677547717498;-0.0121640368538388;-0.0111859665583756;-0.010661720219305;-0.0107084719811456;-0.0112901660850493;-0.012308031825696;-0.0121115424622924;-0.0100650111750021;-0.00723470848495678;-0.00431964824260292;-0.00473646971128755;-0.010519270548376;-0.0209143284266278;-0.0334429287556874;-0.0458130168460183;-0.055637025353262;-0.05789149590468;-0.0564766404992443;-0.0568194682315245;-0.0590072597487498;-0.0608398192009683;-0.0624944313855495;-0.0643692922036527;-0.0661459776051974;-0.0669336747062408;-0.0645335559117592;-0.0610632334472769;-0.0570277684068276;-0.0528121076650538;-0.0493425099273859;-0.0454366495043544;-0.0382092289500318;-0.0282620706800687;-0.0212052833225768;-0.0175072101213165;-0.0179458038281586;-0.0159396635273756;-0.0144485470096944;-0.0164685726670896;-0.0209839290986627;-0.0246097215656507;-0.0232211139242528;-0.020451242388305;-0.0196740927837663;-0.019406772266;-0.0181843118142274;-0.0176866024227466;-0.0166567619574272;-0.0137295904806105;-0.00754732297638716;0.00201157063750895;0.0103317622916173;0.0141745510242753;0.012386264437336;0.0047529824709488;-0.00595137628458314;-0.0149990618228912;-0.0205570305302992;-0.0239926190194437;-0.0272855771295095;-0.030392470753799;-0.0312996201090894;-0.0307780807301149;-0.0327586849867287;-0.0448546629335921;-0.0546466190431078;-0.0567238618761806;-0.0558486414157738;-0.0518703629909936;-0.0448403835801755;-0.0318877775285203;-0.014894598368871;5.31158204806204e-05;0.00918771276029495;0.0128341046935421;0.0129549490698313;0.0112674723742372;0.00918829617863992;0.00786202514575696;0.00858456199452029;0.00810756925809186;0.00519033660322932;0.00818488153360653;0.00742201633372552;0.00541977155006534;0.000939951104632852;0.000810091778383426;0.00838299626010963;0.00561697402242889;-0.00573810556177368;-0.0111057258258431;-0.0102528596328477;-0.01067429402117;-0.0160437241449194;-0.02311217835394;-0.0309201332472139;-0.0377281863810652;-0.0515406702534628;-0.0572938919067383;-0.0578048158500154;-0.0601115691459785;-26.4650844476991
-0.00848587602376938;-0.00738876224574397;-0.00551550368131218;-0.00341491426451732;-0.00325224990561857;-0.00378940254449844;-0.00454498006630752;-0.00690635255837846;-0.00862795884831477;-0.0115587328702716;-0.0143747061996137;-0.0152115324291132;-0.0167503507208016;-0.0170579236947884;-0.0160781313049591;-0.015708770539801;-0.0151590361433514;-0.0139609651040223;-0.013366713109663;-0.0135264603768365;-0.014400172536656;-0.0160610382839785;-0.0163815447081954;-0.0144100109651937;-0.0117117027610035;-0.00901864001811562;-0.00996346923254304;-0.0165842666716899;-0.0282663229410931;-0.0426369303111303;-0.0571880268595986;-0.0691140229671689;-0.0728144723985155;-0.0717446384793621;-0.0719284708217039;-0.0739002849085856;-0.0753787927708383;-0.0766924365849818;-0.0784662973325132;-0.0802889677175021;-0.0807496737373077;-0.0772625450360573;-0.0724602375747794;-0.0673227869605614;-0.0621801100797572;-0.0579555152078806;-0.0535606433779506;-0.0458152286582074;-0.0357770540956723;-0.0292842756893675;-0.0251622048474975;-0.0253148154687073;-0.0232716606835188;-0.0214985545914052;-0.0228275537995969;-0.0266769475350946;-0.0299087234977948;-0.0280351128618596;-0.0249052292714685;-0.023935079827147;-0.0234347945552761;-0.0217333213757661;-0.0209575861187304;-0.0199427660238945;-0.0173185947587934;-0.0120273272869951;-0.00408345132561055;0.00265376017255298;0.0054055454872422;0.0029852410494271;-0.00517801561598053;-0.0164743677034216;-0.0263540744781494;-0.0323930526688948;-0.0356886000451395;-0.0389875782243276;-0.0427024690276485;-0.0448346130423627;-0.0458830898090944;-0.0492666681944314;-0.0628266852285903;-0.0728596229169328;-0.0744338621527462;-0.0732596349918237;-0.0690363516746941;-0.0616643906144773;-0.0479298014256914;-0.0298975940983174;-0.014175883794235;-0.00447730770555588;-0.0002609165543217;0.000288962055060793;-0.000951539409362656;-0.00265872301691672;-0.00373799240185047;-0.00293242628291501;-0.00426039453280169;-0.00882962952225896;-0.00624713150121403;-0.00649799280247443;-0.00859024059974545;-0.0139510176949582;-0.0141988942178629;-0.00567803746562889;-0.00867902121301423;-0.021234061505835;-0.0268217421184152;-0.0253368878768663;-0.0254672727847504;-0.0315777674569921;-0.039463222531949;-0.0482901188276582;-0.0567732412936324;-0.0738016937748861;-0.0804609060287476;-0.0804617930266817;-0.083335565308393;-31.055084600287
